Tag	dynamicColors	mergedColors
CLINT1	greenyellow	pink
SLF2	blue	blue
ADD3	blue	blue
FIBIN	grey	grey
TGIF2LY	grey	grey
GNG3	grey	grey
IPPK	grey	grey
TRIM5	grey	grey
SLC8B1	grey	grey
MINDY3	tan	pink
GCSAML-AS1	brown	brown
ANO7	turquoise	brown
EFHD1	magenta	green
TNPO1	pink	pink
TUBB4B	green	green
TMED6	grey	grey
REP15	grey	grey
DCAF11	grey	grey
PLEKHF1	blue	blue
HSD17B4	grey	grey
HSPB2-C11orf52	grey	grey
TRIP12	blue	blue
SMIM26	yellow	yellow
MRPL39	grey	grey
GK3P	grey	grey
DEFB1	grey	grey
ABL1	grey	grey
KRT79	brown	brown
MNT	grey	grey
DNAJC10	black	black
BCDIN3D	grey	grey
OR5AC2	grey	grey
HNRNPDL	blue	blue
KRTAP4-11	grey	grey
EFNB1	grey	grey
TMEM59L	grey	grey
ASB13	pink	pink
TCF4	grey	grey
EFNA2	grey	grey
SAMD10	brown	brown
TRIM29	grey	grey
QSOX2	grey	grey
WEE1	greenyellow	pink
SIX5	brown	brown
HEATR1	blue	blue
ADRB1	grey	grey
SECTM1	grey	grey
MSH2	grey	grey
NEUROD6	grey	grey
TP53INP2	turquoise	brown
FIGLA	grey	grey
IDUA	turquoise	brown
SLC35D1	grey	grey
C19orf33	turquoise	brown
SETX	blue	blue
PKNOX1	brown	brown
GTSF1L	grey	grey
ESRRB	turquoise	brown
OR7G2	grey	grey
SF3B4	green	green
SLC25A19	grey	grey
NSF	grey	grey
CCDC106	turquoise	brown
TMA7	grey	grey
SLC39A7	grey	grey
ZNF737	grey	grey
BLNK	grey	grey
PRND	grey	grey
COL14A1	grey	grey
LSM1	yellow	yellow
WRAP53	turquoise	brown
NR1D2	blue	blue
CHTF8	green	green
